Question,Right Answer,Option 1,Option 2,Option 3,Lowest Level Topic,Description
Security deposit deducted from the contractor's bill is,refunded when the defect liability period is over,refunded upon completion of work,refunded when good progress is achieved,retained till lifespan of project,Construction Management,
Critical Path moves along the particles having total float as ,zero,positive ,negative,unity,Construction Management,
Optimum project duration denotes,minimum overall cost,minimum direct cost,minimum indirect cost,all of the given,Construction Management,
The pretender stage of construction requires,all of the given,site selection,land acquisition,design finalization,Construction Management,
"Due to omission of any component, the total cost of project",decreases,increases,constant,can't be calculated,Construction Management,
Sensitivity Analysis is a study of,change in output due to change in input,economics of cost and benefit of project,comparison of profit and loss,comparison of assets and liabilities,Construction Management,
A construction schedule is prepared after collecting,all of the given,quantity of various items,number of operations,output,Construction Management,
The fixed sum to be paid by the contractor having no relationship with real damage is,liquidated damage,fixed penalty,compensatory payment,fine charge,Construction Management,
The process of studying the result/output of project is known as,Evaluation,Indicator,Checking,Monitoring,Construction Management,
Small jobs assigned to individual or firms; not directly employed on the project are known as,sub-contracts,job work,ancillary works,miscellaneous works,Construction Management,
A bar chart is drawn for,time versus activity,activity versus resources,resources versus progress,progress versus time,Construction Management,
A variation order is issued to a contractor by tge authorized personnel of the client when,All of the given,it becomes necessary to change the design and drawing,the quantity of items given in the contract document is to be changed,new items of work are to be added,Construction Management,
Milestones are,beginning of various activities,activities,vertical bar chart,supervision of work,Construction Management,
Which of the following is not a bid document?,letter of acceptance,condition of contract,specification,performance security form,Construction Management,
Which of the following is not a reason for establishing good occupational health and safety standard?,religious,economic,moral,legal,Construction Management,
The purpose of BId evaluation id to determine,Lowest evaluated substantially responsive bid,lowest bid,responsive bid,any of the above,Construction Management,
The chart that gives an estimate about the amount of materials handling between various work stations is known as,travel chart,process chart,flow chart,operation chart,Construction Management,
Pre-qualification criteria is approved by,concerned department chief,project engineer,secretary,minister,Construction Management,
The time between ordering of goods and materials and placing them into use at the time of need is called,lead time,delayed time,order time,use interval,Construction Management,
All measurement should be recorded in a,measurement book,note book,daily book,muster roll,Construction Management,
Acquisition of any land for any construction should be performed,before tender,durinf tender,after tender,at any time,Construction Management,
Which of the following is not a part of contract document,Manning schedule,Price schedule,Work Schedule,Cost estimate,Construction Management,
Functional Organization was introduced b,F.W. Taylor,Henry Gantt,Newton,M.R. Walker,Construction Management,
Gantt chart is used for,Planning a project,Scheduling a project,monitoring a project,implementing project,Construction Management,
Critical path is,Always longest,Always shortest,May be long,May be short,Construction Management,
The first stage of a construction is,Initiation of proposal,Survey of site,preparation of tender,preparation of estimate,Construction Management,
The object of technical planning is,All of the given,Preparation of specification and estimates,Initiating the procurement action of resources,Taking remedial action for likely bottle neck in the excavation,Construction Management,
What do you mean by a site plan,All of the given,Detail breakdown of different construction activities,Detail space allocation for different group of activities,Detail breakdown of different types of labors,Construction Management,
The main function of construction management is,All of the given,Planning,Organizing,Directing,Construction Management,
A golden rule for the procurement of construction site is that,2/3 of the construction materials should be at work site and 1/3 under procurement,Half of the construction materials should be at work site and other half at procurement,3/4 of the construction materials should be at work site and 1/4 under procurement,Whole of the construction material should be at work,Construction Management,
The construction of residential building is treated as,light construction,heavy construction,industrial construction,none of the above,Construction Management,
The concept or idea for any construction work is the responsibility of,Owner,Engineer,Contractor,All of the above,Construction Management,
A construction team includes,All of the given,Owner,Contractor,Engineer,Construction Management,
Bar chart is used for,minor work,major work,emergency work,all kinds of work,Construction Management,
The pre-tender stage of construction requires,All of the given,Selection of site,Acquisition of land,Finalization of designs,Construction Management,
The probability of completion of any activity within specified time is,50%,100%,0%,49.90%,Construction Management,
The post tender stage of construction consists of,All of the given,Assessment of work,finalization of accounts,Assessment of expenditure,Construction Management,
"In which of the following organization structure, each specialist is supposed to give his functional advice to all other foreman and workers",functional organization,line organization,line and staff organization,Matrix organizarion,Construction Management,
The major principle of an organization is,All of the given,Span of management,Unity of command,Delegation of authority and responsibility,Construction Management,
Time and progress chart is known as,All of the given,Bar chart,Modified milestone chart,CPM,Construction Management,
The process of calculating the resources requirement of a project implementation is known as,Resource aggregation,Resource levelling,Scheduling,Resource smoothening,Construction Management,
The earliest method for planning project was,Bar chart,CPM,PERT,Milestone chart,Construction Management,
A milestone chart,Shows the events in chronological order but not logical order,Shows interdependence of various jobs,All of these,Depicts delay of job,Construction Management,
Jobs going ahead of schedule are conveniently shown in,Gantt Chart,Milestone chart,Pie chart,None of these,Construction Management,
A Gantt chart indicates,Comparison of actual progress with scheduled progress,Balance of work to be done,Progress cost of project,Efficiency of work,Construction Management,
"Various activities of a project, are shown on bar chart by",Horizontal lines,Vertical lines,Dots,Crosses,Construction Management,
The start or completion of a task is called,An activity,An event,A duration,Any of these,Construction Management,
An activity is,An element of work entailed in the project,The beginning or end of a specified job,The movement of heavy vehicles frome one place to other,The progress ,Construction Management,
TF-FF is,Interferring float,Duration,Critical activity,Independent Float,Construction Management,
In line organization,All of the given,Discipline is strong,Quick decision are taken,Responsibility of each individual is fixed,Construction Management,
Which of the following is primary process for procurement of goods and services from a competetive market?,Bidding,Payment,Deposit,Order placement,Construction Management,
The time after which direct cost doesn't reduce with increase in time is,Normal time,Crash time,Optimistic time,Standard time,Construction Management,
The direct cost of project with respect to normal time is,Minimum,Maximum,Zero,Infinite,Construction Management,
The reduction in project time normally results in,Increasing direct cost and decreasing indirect cost,Decreasing the direct cost and increasing indirect cost,Increasing both direct and Indirect cost,Decreasing both direct and indirect cost,Construction Management,
Types of organization used in construction industry is,Line organization,Functional organization,Matrix organization,Line and staff organization,Construction Management,
Amount to be deposited by contractor while submitting tender is,Earnest money,Fixed deposit,Caution deposit,Security deposit,Construction Management,
The amount of earnest money to be deposited while bidding a tender is_____ of estimated cost of project,2-3%,3-5%,5-10%,Any of these,Construction Management,
The amount of performance security to be deposited by a successful contractor is___ of the estimated cost,Both of given,5% for Nepali,10% for foreigner,None of these,Construction Management,
"In analysis of rate, profit for the contractor is generally taken as",10%,15%,20%,5%,Construction Management,
PERT requires,Triple time estimate,Single time estimate,Double time estimate,no time estimate,Construction Management,
Dummy activities are used to,Maintain the required network,Determine the critical path,Determine project duration,None of the given,Construction Management,
An imaginary line joining points of equal elevation on the surface of earth is called,contour line,contour gradient,contour surface,level line,Contouring,
A leminiscate curve between the tangents will be transitional throughout if the polar deflection angle of its apex is,Δ/6,Δ/4,Δ/2,5Δ/6,Curves,
The lead becomes softer as the numeral letter H on pencil,decreases ,increases,remains same,not applicable,Drawing,Softer leads with B and harder leads with H
Scale used for architectural and building drawing plans is,1 :100,1 :50,1 :200,1 :500,Drawing,
Free hand sketch is normally used for,concept,final ,discussion,none of above,Drawing,
Picture plane in a perspective projection is,transparent vertical plane,transparent inclined plane,opaque horizontal plane,opaque vertical plane,Drawing,
A working drawing shows,detailed dimension of an element,dimension shoown only for main parts,no cross-section,none of above,Drawing,
The 'MAP' is,a small scaled graphical projection on a horizontal plane,a enlarged scale projection on a vertical plane,projection of the feature on the earth's surface in a horizontal plane,projection of entire feature on vertical and horizontal plane,Drawing,
Site plan shows,location of building,face of building,section of building,details of building,Drawing,
"In which of the following projection, observer is at finite distance from the object?",Perspective ,isometric,oblique,orthographic,Drawing,
The smooth curves in a fair drawing are drawn with the help of,French Curve,Compass,Protractor,scale,Drawing,
"In orthographic projections, the projectors to the plane of projection are",perpendicular,parallel,inclined,none of the above,Drawing,
Select the correct statement,The smooth face of the drawing sheet is the proper side for drawing work,The rough surface is used for drawing work,There is no proper side for drawing sheet,Roughness and smoothness do not affect the drawing work,Drawing,
The isometric length of the cube is,less than the actual length,more than the actual length,equal to actual length,none of the above,Drawing,
A building drawing consists of,All of the above,Site plans and floor plans,elevations and sections,foundation details,Drawing,
Which is not true,Arrow head should be thick and not fillled in,dimension lines should not cross each other,lettering is done in capital letters in general,construction lines are continuous thin lines,Drawing,
Hidden lines are drawn as,dashed narrow lines,dashed wide lines,long dashes dotted wide lines,long dashed double dotted wide line,Engineering Drawing,
In orthographic projection,All of the above,Plans are drawn,Elevations are drawn,Side elevations are drawn,Engineering Drawing,
Orthographic view of objects can be represented by,Both angle projection,first angle projection,Third angle projection,none of the given,Engineering Drawing,
"In which of the following, the projectors are not perpendicular to the plane of projection",perspective ,orthographic,axonometric,graphic,Engineering Drawing,
Pictorial sketches are,All of the above,Isometric,Oblique,Perspective,Engineering Drawing,
French curves are used to draw,Irregular curve lines,Regular curve lines,long curve lines,free hand lines,Engineering Drawing,
Horizontal lines are drawn,Both,left to right,right to left,none of the given,Engineering Drawing,
Topographic map are used to represent,All of the above,natural detail,artificial detail,construction detail,Engineering Drawing,
"In isometric projection, square faces are seen as",Rhombus,Squares,Rectangles,none of the given,Engineering Drawing,
Net present value is,difference between cash inflow and cash outflow,cash inflow only,cash outflow only,any one of the above,Engineering Economics,
"If a is the base amount of expenditure, b is the increase in operation cost each year over a period of n years, the total cost of maintenance is",a+(n-1)b,a+(n+1)b,ax(n-1)b,ax(n+1)b,Engineering Economics,
Ratio analysis of construction firm is used for analysis by,financial analysis,share holders,banks of firm,firm's management,Engineering Economics,
"If P is the principal amount, I is the interest rate per year, N is the number of periods in n years, the interest amount is",P(1+i)^n-P,P(1+i)^n+P,P(1-i)^n-P,P(1-i)^n+P,Engineering Economics,
The time value of money is considered in the,All of above,Present Worth Method,Future Worth Method,Internal Rate of Return Method,Engineering Economics,
Sensitivity Analysis is,examination of range of values for some parameters to determine their effect on a particular decision,the ratio of benefits to cost using either present worth or annual cash flow calculations,condition under which alternatives are equivalent,to change one to many estimates and see what the result is,Engineering Economics,
The difference between discounted benefit and cost is called,NPV,PV,benefit,none of these,Engineering Economics,
Inflation is a normal phenomenon in which,nominal price of object is raised,nominal price of object is decreased ,nominal price of object is not changed,none of these,Engineering Economics,
Sensitivity analysis can be used to examine a project's viability when the following factor is changed,All of the given,annual expenses,interest rate,capital investment,Engineering Economics,
Sensitivity analysis is the study of,Change in output due to change in input,comparison of profit and loss,economics of cost and benefit of project,comparison of asset and liabilities,Engineering Economics,
The Engineering council consists of the following members,18,7,8,9,Engineering Professional Practice,
Professional code of professional engineering ethics is,both of above,upholding and advancing engineering profession,maintain high standard of ethical conduct,none of above,Engineering Professional Practice,
Professional code of conduct issued by Nepal Engineering Council has,8 articles,5 articles,7 articles,10 articles,Engineering Professional Practice,
Which is link ministry of Nepal Engineering Council,Ministry of Physical planning and works,Ministry of general administration,ministry of energy,ministry of irrigation,Engineering Professional Practice,
The minimum qualification required for general engineer is,Bachelor in engineering,diploma in engineering,master in engineerin,any one of above,Engineering Professional Practice,
Which of the following category on Engineer is not mentioned in Engineering Council rule,Chartered Engineer,General Engineer,Professional Engineer,Non Nepali Resident Engineer,Engineering Professional Practice,
Engineers shall build their professional reputation on the .......... of their service and shall not compete unfairly with others,basis,publicity,merit,regulation,Engineering Professional Practice,
"In general, NEC meeting should be held",4 times a year,2 times a year,3 times a year,6 times a year,Engineering Professional Practice,
"Engineers shall act in such a manner as to uphold and enhance the honor, and dignity of engineering profession and shall act with......... for bribery, fraud and corruption",zero tolerance,tolerance,penchant,predilection,Engineering Professional Practice,
Code of conduct defines,what should be,what should not be,what had been,what will be,Engineering Professional Practice,
Time period member of NEC body is,4 years,5 years,7 years,8years,Engineering Professional Practice,
The number of corrugations in galvanized iron sheet is usually,10,12,8,6,"Estimation, Costing and Valuation",
The density if cement is generally taken as,1440kg/m^3,1550kg/m^3,1600kg/m^3,1750kg/m^3,"Estimation, Costing and Valuation",
"In rate analysis, the number of bricks per cubic metre is taken as",500,5000,2000,250,"Estimation, Costing and Valuation",
"In long wall and short wall method, length of long wall is the centre to centre distance between the walls and",half the breadth of wall on each side,breadth of wall,one fourth breadth of wall on each side,none of the above,"Estimation, Costing and Valuation",
Original cost of property minus depreciation is,Book Value,Salvage Value,Scrap Value,rebelable value,"Estimation, Costing and Valuation",
The minimum width of septic tank is taken as,75 cm,90 cm,80 cm,70 cm,"Estimation, Costing and Valuation",
Specification of hold fasts are provided in terms of,number,volume,weight,length,"Estimation, Costing and Valuation",
A bill of quantity consists of,All of the given,description of item,quantity of item,item rate,"Estimation, Costing and Valuation",
The most reliable estimate is,detailed estimate,preliminary estimate,plinth area estimate,cubic rate estimate,"Estimation, Costing and Valuation",
The volume of cement in one 50kg bag in cubic metres is,0.034,0.04,0.05,0.025,"Estimation, Costing and Valuation",
Which of the following is the most correct estimate,Item rate estimate,building cost index estimate ,plinth area estimate,cubic rate estimate,"Estimation, Costing and Valuation",
"When an object is cut by a section plane parallel to horizontal plane and perpendicular to vertical plane, the sectional view of the object is obtained in",Top view,Bottom view,Right side view,Left Side View,"Estimation, Costing and Valuation",
"In detailed estimate, the volumes are worked out to nearest",0.01 m³,0.001 m³,0.02 m³,0.05 m³,"Estimation, Costing and Valuation",
Rate analysis consists of,All of the above,material,labour,contractor's profit,"Estimation, Costing and Valuation",
The volume of coarse aggregate required to make 1000 m³ of 1 : 2 :4 concrete is,84m³,98m³,79m³,72m³,"Estimation, Costing and Valuation",
"In specification of earthwork in foundation trenches, drains etc, lift is specified as",1.5m,3m,5m,30m,"Estimation, Costing and Valuation",
The useful part of livable area of building is,carpet area,plinth area,circulating area,living area,"Estimation, Costing and Valuation",
The reduction in wet volume compared to dry volume in Mortar is taken as,25-30%,30-35%,35-40%,50-55%,"Estimation, Costing and Valuation",
The reduction in wet volume compared to dry volume in Concrete is taken as,50-55%,25-30%,30-35%,20-25%,"Estimation, Costing and Valuation",
The overhead and profit (15%) claimed by contractor is,included in rate analysis,included in material,included in labour,in a separate item,"Estimation, Costing and Valuation",
Number of unknowns to be determined in the stiffness method is equal to,kinematic indeterminacy,Static indeterminacy,sum of static and kinematic indeterminacy,nonw of the above,Indeterminate Structures,
A hydrometer is used to measure,Specific gravity of liquids,Flow of fluids,Velocity of fluids,Velocity of gases,Index Properties of Soil,
The maximum size of clay particle is,0.002mm,0.03,0.1,0.002,Index Properties of Soil,
The maximum size of silt particle is,0.06,0.02,0.2,0.5,Index Properties of Soil,
A well graded sand should have,All of the given,Uniformity coefficient greater than 4,Coefficient of curvature between 1 and 3,Effective size greater than 1mm,Index Properties of Soil,
The shape of particle size curve is represented by,Coefficient of curvature,Effective size,Effective diameter,Unifom coefficient,Index Properties of Soil,
A particle-size distribution curve gives us an idea about,Type of soil,Properties of soil,Consistency of soil,Liquid limit,Index Properties of Soil,
The property of soil by virtue of which it can be deformned rapidly without rupture is,Plasticity,Elasticity,Tenacy,Hardness,Index Properties of Soil,
"The ratio of liquid limit,minus the natural water content to the plasticity index of the soil is",Consistency Index,Plasticity Index,Liquidity index,Shrinkage index,Index Properties of Soil,
Clay doesn't become plastic when it is mixed with,Kerosene,Oil,Soap Solution,Water,Index Properties of Soil,Kerosene is a non polarizing liquid
"In consistency of soil, the limits are expressed in terms of",Percentage water content,Area,Volume,weight,Index Properties of Soil,
The grooving tool used to find liquid limit is,ASTM tool,Groove tool,Split spoon sampler,All of the above,Index Properties of Soil,
The depth of groove cut by cassagrande tool for determining the liquid limit is,11mm,10mm,2mm,8mm,Index Properties of Soil,
What is the diameter of the seive used for finding the liquid limit?,425microns,75 microns,275 microns,200 microns,Index Properties of Soil,
The toughness index is defined as the ratio of,Plasticity index/flow index,Plastic limit/lliquid limit,Liquid limit/flow index,Plastic limit/ flow limit,Index Properties of Soil,
The shear strength of the soil at liquid limit is,17.6 g/cm^2,17.6 KN/m^2,1.89Kn/m^2,18.9g/cm^2,Index Properties of Soil,
The density of mercury used in shrinkage limit apparatus is,13.6g/cm^3,13.0g/cm^3,12.6g/cm^3,14.6g/cm^3,Index Properties of Soil,
The field density of natural soil deposit cannot be determined by,Oven drying method,Sand replacement method,Core cutter method,Water displacement Method,Index Properties of Soil,
Sensitivity of most clays usually falls in a range of,1 to 8 ,2 to 8,2 to 6,1 to 5,Index Properties of Soil,
Laboratory classification of fine grained soil is done with the help of,Plasticity chart,Textural Classification chart,Kozney's graphical method,None of above,Index Properties of Soil,
The equation of A-line is given by,Ip=0.73(Wl-20),Ip=0.68(Wl-20),Ip=0.57(Wl-20),Ip=20-Wl,Index Properties of Soil,
What is the principle of surveying?,Working from Whole to Part,Working from part to whole,Location of a point by measuring from one station,Both A and C,Introduction and types,
"What is the benefit of following ""Working from whole to part""?",Prevent the accumulation of error,Distribute the error,Make the measurement easier,None of above,Introduction and types,
The curvature of the earth is taken into account when the extent of survey is more than?,260 sq km,140 sq km,60 sqkm,640 sq km,Introduction and types,Actual area is 195.5 sq.km
Hydrographic survey deals with?,Survey of large water bodies,Survey around the river,Canal system,Mountainous regions,Introduction and types,
The branch of surveying which deals with the measurement in vertical plane is known as,Levelling,Plane tabelling,Centering,Triangulation,Introduction and types,
The survey in which curvature of the earth is taken into account is called,Geodetic Survey,Plane Survey,Hydrographic Survey,Earth survey,Introduction and types,
The difference between the arc and subtended chord on a earth surface for a distance of 18.5km is,1cm,1mm,10cm,15cm,Introduction and types,
The differences between sum of angles of spherical triangle and a plane triangle is,1'',1',"1.5""","2""",Introduction and types,
The differences between sum of angles of spherical triangle and a plane triangle is also known as,Spherical Access,Great angle,Plane access,None of above,Introduction and types,It is the value by which the sum of angles in a triangle exceeds 180 degrees
"The survey used to fix the property line of personal, municipalities, state, etc is known as",Cadastral Survey,Topographical survey,Property Survey,City Survey,Introduction and types,
A fixed point of known elevation is known as,Benchmark,Datum,Reduced level,Station,Introduction and types,
"In surveying, the first step taken is",Reconnaissance,Running survey line,Drawing,marking stations,Introduction and types,
Survey is classified,based on all of above,based on curvature of earth,based on nature of field,based on instrument used,Introduction and types,
Walking over the areas and observing its main features and boundaries is known as,reconnaissance,inspection,observation,any of these,Introduction and types,
"Survey which are carried out to depict mountain,rivers,water bodies,wooded areas and other cultural details are known as",topographical surveys,cadastral surveys,plane surveys,hydrographical surveys,Introduction and types,
What does the surface of water of still lake represent?,Level Surface,Contour line,contour gradient,horizontal surface,Levelling,
What does the boundary of water of still lake represent?,Contour line,horizontal equivalent,Horizontal surface,Level Surface,Levelling,
"In leveliing, a station is a point where",Staff is placed,instrument is placed,benchmark,datum,Levelling,
Levelling across a river is done by,Reciprocal levelling,fly levelling,barometric levelling,cross levelling,Levelling,
A line normal to plumb line at all points is known as,level line,horizontal line,vertical line,line of sight,Levelling,
An arbitrary surface with respect to which the elevation of points are measured is called,Datum Surface,Bench mark,Horizontal surface,Level Surface,Levelling,
The method of surveying used for determining relative position of points on the surface of the earth is called,levelling,simple levelling,differential levelling,longitudinal levelling,Levelling,
The vertical distance above or below the datum is called,elevation of point,height of instrument,rise,none of above,Levelling,
A fixed point of reference of known elevation is called,benchmark,datum,change point,station point,Levelling,
A staff reading taken on a bench mark is called,back sight,foresight,intermediate sight ,all of the above,Levelling,
"When staff reading is taken, the line of collimation shoild be",horizontal,vertical ,inclined,any of these,Levelling,
The plane of collimation head compared to the height of instrument is,equal,more,less,"may be more,less or equal",Levelling,
The height of instrument is equal to,RL of BM+B.S.,RL of BM+F.S.,RL of B.M-B.S.,all of the above,Levelling,
The collimation method for obtaining RL of points does not provide,Intermediate sight,Foresight,Back Sight,Change point,Levelling,
Height of instrument method is used for,Profile levelling,Check Levelling,differential levelling,Reciprocal Levelling,Levelling,"used in construction work like road, bridge etc"
Accuracy of rise and fall method as compared to height of instrument method is,equal,less,more,none of above,Levelling,
Rise and fall method provides check in,all of above,Foresight,Back Sight,Intermediate Sight,Levelling,
An imaginary line tangential to the longitudinal curve of bubble tube at its middle point is called,axis of level tube,line of sight,axis of telescope,line of collimation,Levelling,
A curved surface which is normal to the direction of gravity at all point is known as,Level Surface,level line,horizontal surface,datum surface,Levelling,
A line normal to level surface at a point is called,vertical line,level line,horizontal line,line of sight,Levelling,
A staff reading taken on a point whose elecation is to be determined on a change point is,foresight,backsight,intermediate sight ,line of sight,Levelling,
A straight line tangential to the level line at a point is called,horizontal line,horizontal plane,level line,vertical line,Levelling,
Benchmark is established by,Spirit levelling,Trigonometric levelling,Barometric levelling,Reciprocal Levelling,Levelling,
The least count of levelling staff is,5mm,1cm,5cm,1mm,Levelling,
Levelling in which the elevation of points along a given line is known as,profile levelling,fly levelling,cross section levelling,reciprocal Levelling,Levelling,
The reading on the turning point is,Foresight and Backsight both,Foresight,Back Sight,Intermediate Sight,Levelling,
Check for collimation method is,Sum of BS-Sum of FS,First RL-Last RL,Rise-Fall,all of the above,Levelling,Sum of BS-Sum of FS= Last RL-First RL
The difference between level line and horizontal line is,Level line is curved but horizontal line is straight,Level line is straight but horizontal line is curved,Both are same,none of above,Levelling,
The first observation taken on turning point is,foresight,backsight,Intermediate sight ,Both foresight and back sight,Levelling,
The last staff reading from any levelling station is,foresight,backsight,Intermediate sight ,Fore Bearing,Levelling,
"When adjusting a levelling instrument, if telescope cannot be moved independently, the instrument is called",Dumpy level,Y level,Tilting level,Reversible level,Levelling,
Levelling deals with measurement in ,Vertical plane,Horizontal plane,Inclined plane,both horizontal and vertical plane,Levelling,
Height of any point with respect to mean sea level is called,Reduced level,height of instrument,Change point,station point,Levelling,
The surface of 0 elevation around the earth which is slightly irregular and curved is called,mean sea level,level surface,horizontal surface,vertical surface,Levelling,
In levellng operation,the line start with backsight and closes with foresight,the line starts with foresight and ends with backsight,the first sight on any change point is backsight,the second sight on any change point is foresight,Levelling,
The method of levelling used to carry out reconnaissance of area is,fly levelling,Check Levelling,Simple levelling,reciprocal Levelling,Levelling,
Which of the following levelling is done to determine elevation difference between two points on surface of the earth,differential,reciprocal,simple levelling,profile ,Levelling,
Telescope of dumpy level ,is rigidly fixed to levelling head,can be tilted by 4 degrees in a vertical plane,can be taken out of its support and reversed,a compensation is fitted that levels automatically,Levelling,
Which of the following is used to determine the difference of elevation of two points that are quite apart,Reciprocal levelling,simple levelling,profile levelling,fly levelling,Levelling,
"For true difference in elevation between two points A and B, level must be set up",at the exact mid point of A and B,at any point between A and B,Near A,Near B,Levelling,
Which test is used to make horizontal axis perpendicular to vertical axis,Spire Test,Azimuth Test,Cross hair ring test,plate level test,Levelling,
Reciprocal Error eliminates,"Collimation, curvature and refraction error",collimation error,curvature and refraction,curvature error fully and refraction error partly,Levelling,Can't eliminate parallax error
"If the BM of station A is 250m, the BS reading at the point is 2m and FS reading of station B is 2.5m, the RL of station B is",249.5m,252m,252.5m,254.5m,Levelling,
"During levelling, ",Both,"When the instrument is being shifted, the staff must not move","when the staff is being shifted, the instrument must not move",none of the given,Levelling,
Removal of parallax may be done by,focussing objective and eyepiece,focussing objective,focussing eyepiece,none of the above,Levelling,
Number of subdivisions per metre length of a levelling staff is,200,100,500,1000,Levelling,
Pick up the wrong statement,the diaphragm is placed between the eyepiece and objective closer to the later,the diaphragm is placed between the eyepiece and objective closer to the former,the outer component of the objective is a double convex lens of crown glass,the inner component of the objective is a flint glass,Levelling,
"The ratio of the distances at which a stated length can be distinguished by the telescope and the human eye, respectively, is called",Resolving power of telescope,brightness of telescope,magnification of telescope,none of these,Levelling,
The process of adding water to lime to convert it in hydrated lime is,slaking,hydration,watering,calcination,lime,
The property by virtue of which lime sets under water is,hydraulicity,slacking,setting,hardening,lime,
The first moment of area about the reference axis is,Centroid,Moment of Inertia,modulus of section,None of above,Moment of Inertia,
The theorem of parallel axis is used to determine MI about an axis___ to centroidal axis,parallel,perpendicular,coinciding,None of above,Moment of Inertia,
The area moment of inertia is measure of resistance to,Bending,twisting,compression,bending,Moment of Inertia,
The second moment of area about the reference axis is,Moment of Inertia,Centroild,Modulus of section,None of above,Moment of Inertia,
The theorem of perpendicular axis is used to determine MI about an axis___ to centroidal axis,Polar,horizontal,Vertical,None of above,Moment of Inertia,
The polar moment of inertia is measure of resistance to,twisting,bending,compression,tension,Moment of Inertia,
The MI of a rectangle of width b and depth d about horizontal centroidal axis is,bd^3/12,db^3/12,bd^3/36,db^3/36,Moment of Inertia,
The MI of a square lamina of side A about the diagonal is,A^4/12,A^4/3,A^4/6,A^4/4,Moment of Inertia,
The MI of a plane lamina is 2*10^6 mm^4. If its area is 40000 sqmm then its radius of gyration is,7.07,10mm,50mm,20mm,Moment of Inertia,
Which of the following cross section have equal moment of inertia about ani axis passing through its centroild?,Circle,Rectangle,Triangle,Square,Moment of Inertia,
The ratio of moment of Inertia of a circular plate to square plate for equal depth is,equal to 3π/16,equal to 1,equal ,equal to 3,Moment of Inertia,
The section modulus of a rectangular section is proportional to,Area of section,Square of the area of section,product of the area and depth,product of area and width,Moment of Inertia,
The algebraic sum of the vertical forces on either side of section of a loaded beam is known as,Shear force,bendimg moment,deformed force,all of the above,Moment of Inertia,
Which of the following is used as a carrier in paint?,Linseed oil,Almond Oil,Olive oil,Sunflower oil,Paints,Vehicle/carrier/binder
The ingredient of paint used to hide the surface irregularities and imparts color is known as,Pigments,Adultrants,Drier,Solvents,Paints,
The commonly used thinner in oil paints is,Both,Naphtha,Turpentine,None of the above,Paints,Also called solvent
The base material for distemper is,Chalk,Lime,Clay,Lime putty,Paints,Chalk+Water
"In paints,methylated spirit,naptha and turpentine are used as",Solvent,Base,Binder,Extender,Paints,
The most durable varnish is,Oil Varnish,Water varnish,Spirit varnish,Turpentine varnish,Paints,
Zinc oxide is a pigment having,White colour,Blue Colour,Black colour,Yellow colour,Paints,
The paints that are most resistant to fire are,Asbestos cement,Enamel paints,Aluminium paints,Cement paints,Paints,
Distemper is used on,Plastered surface not exposed to weather,Plastered surface exposed to weather,Roof tops,Unplastered brick wall,Paints,
The detachment of the paint film from the surface is known as,Flaking,cracking,chalking,wrinkling,Paints,
"For prestressed concrete, high strength concrete is used primarily because ",modulus of elasticity is high and creep is low,modulus of elasticity is high and creep is high,both shrinkage and creep are more,shrinkage is less but creep is more,Pre-stressed concrete,
Which Scale is used to measure upto three dimensions?,Diagonal Scale,Plane Scale,Scale of Chords,Triangular Scale,Scale and Map,
The vernier in which the graduation of vernier scale increase in the same direction as that of main scale is,Direct Vernier,Retrograde Vernier,Regular Vernier,Irregular Vernier,Scale and Map,
The vernier in which the graduation of vernier scale increase in the opposite direction as that of main scale is,Retrograde Vernier,Straight vernier,Direct Vernier,Inverted Vernier,Scale and Map,
"If n number of divisions of vernier scale coincide with n-1 divisions of main scale, it is called",Direct Vernier,Retrograde Vernier,Regular Vernier,Irregular Vernier,Scale and Map,
"If n number of divisions of vernier scale coincide with n+1 divisions of main scale, it is called",Retrograde Vernier,Regular Vernier,Direct Vernier,Inverted Vernier,Scale and Map,
"If n number of divisions of vernier scale coincide with 2n-1 divisions of main scale, it is called",Extended Vernier,Direct Vernier,Retrograde Vernier,Straight Vernier,Scale and Map,
Calculate number of divisions of main scale that equals 10 division of extended vernier,19,15,21,25,Scale and Map,
Distance between two brass rings in a surveyor's chain is,20cm,20m,30cm,30m,Scale and Map,
The scale 1cm=500m equals,1 : 50000,1 : 500,1 : 500000,1 :50,Scale and Map,
Which of the followin statement in regard to map A having scale 1:2000 and another map B having scale 1: 6000 is true?,Map A is large Scale map compared to Map B,Map B is large scale map compared to map A,Map B is more detailed than map A,None of these,Scale and Map,
The instrument used to set off angles is,Scale Of Chords,Direct Scale,Retrograde Vernier,Angular Scale,Scale and Map,
"Calculate the number of divisions of main scale required to construct a direct vernier for a theodolite circle divided into degrees  and one third degree to read upto 20""",59,60,61,20,Scale and Map,
"Calculate the number of divisions of vernier scale required to construct a direct vernier for a theodolite circle divided into degrees  and one third degree to read upto 20""",61,59,60,20,Scale and Map,
Which of the following Scale is the smallest one,1 : 2000000,1 : 200000,1 : 20000,1 : 2000,Scale and Map,
Which of the following Scale is the smallest one,1cm=5000m,4 : 200000,1cm=50m,RF=1/50000,Scale and Map,
Topographic maps are used to represent,natural detail,construction detail,structural detail,all of the above,Scale and Map,
"If a rectangular shaped land of actual size 30m x 50m is drawn on a drawing by a rectangular size 15mm x 25mm, the representative factor is",1 : 2000,1 : 200,1:20,1 :2500,Scale and Map,
